Airbnb ID,Airbnb URL,Revenue Potential,Days Available,Annual Revenue,Occupancy,Daily Rate,Bedrooms
1253597348269902495,https://www.airbnb.com/rooms/1253597348269902495,181.7k,207,142.9k,70,992.6,
1293985401840384979,https://www.airbnb.com/rooms/1293985401840384979,175k,209,142.9k,69,985.3,
978771295058695371,https://www.airbnb.com/rooms/978771295058695371,144.3k,362,142.8k,75,527.1,
1176120567698357025,https://www.airbnb.com/rooms/1176120567698357025,142.8k,323,142.8k,65,679.8,
1300516521834838893,https://www.airbnb.com/rooms/1300516521834838893,169.8k,251,142.7k,88,648.8,
537061055239307515,https://www.airbnb.com/rooms/537061055239307515,258.6k,200,142.7k,53,1.4k,
1221510700270907257,https://www.airbnb.com/rooms/1221510700270907257,143.7k,311,142.5k,69,659.7,
1241892301578190500,https://www.airbnb.com/rooms/1241892301578190500,212.5k,231,142.1k,87,707.2,
1096860844183194015,https://www.airbnb.com/rooms/1096860844183194015,225.8k,206,141.7k,63,1.1k,
1186726968139398662,https://www.airbnb.com/rooms/1186726968139398662,179.9k,286,141.6k,88,562,
1157101870761560996,https://www.airbnb.com/rooms/1157101870761560996,194.2k,266,141.6k,93,573.1,
741214143378361955,https://www.airbnb.com/rooms/741214143378361955,151.2k,342,141.4k,93,444.8,
1283981718996053502,https://www.airbnb.com/rooms/1283981718996053502,156.1k,247,141.3k,83,689.3,
1259285794664810129,https://www.airbnb.com/rooms/1259285794664810129,168k,225,141.3k,85,739.6,
47721452,https://www.airbnb.com/rooms/47721452,181.8k,274,141.2k,88,588.4,
1284541644615280953,https://www.airbnb.com/rooms/1284541644615280953,187.1k,196,141.1k,80,904.3,
918787435070096059,https://www.airbnb.com/rooms/918787435070096059,146.2k,298,140.7k,94,500.8,
1092631503503428125,https://www.airbnb.com/rooms/1092631503503428125,172.7k,193,140.6k,68,1.1k,
1008659001005036408,https://www.airbnb.com/rooms/1008659001005036408,204.1k,271,140.4k,93,559.4,
647616347118313659,https://www.airbnb.com/rooms/647616347118313659,180.3k,243,139.8k,77,743.6,
827908389307434967,https://www.airbnb.com/rooms/827908389307434967,232.9k,212,139.6k,78,846.3,
1175976656864117040,https://www.airbnb.com/rooms/1175976656864117040,175.6k,299,139.5k,98,474.6,
996190609754128040,https://www.airbnb.com/rooms/996190609754128040,151.2k,234,139.3k,82,721.7,
1076739996461157065,https://www.airbnb.com/rooms/1076739996461157065,144.8k,344,139.3k,72,563.8,
639529378562762876,https://www.airbnb.com/rooms/639529378562762876,144k,209,139.2k,84,795.3,
1285256416384276862,https://www.airbnb.com/rooms/1285256416384276862,187.5k,203,139.1k,49,1.4k,
1208615429285645960,https://www.airbnb.com/rooms/1208615429285645960,167k,293,138.6k,93,507.8,
1185412387761659563,https://www.airbnb.com/rooms/1185412387761659563,138.5k,365,138.5k,79,477.5,
1122299220559241656,https://www.airbnb.com/rooms/1122299220559241656,138.4k,353,138.2k,69,568.7,
1069475045235726954,https://www.airbnb.com/rooms/1069475045235726954,194.7k,270,137.9k,78,653.7,
50101285,,160.1k,252,137.9k,48,1.1k,1
1176484600757419645,https://www.airbnb.com/rooms/1176484600757419645,173.7k,294,137.6k,86,546,
1221449280782882031,https://www.airbnb.com/rooms/1221449280782882031,145.7k,270,137.3k,72,707.9,
1359341721300576113,https://www.airbnb.com/rooms/1359341721300576113,139k,222,137.1k,76,811.5,
1192717320682349439,https://www.airbnb.com/rooms/1192717320682349439,170.5k,288,137k,78,606.1,
1178034039857504939,https://www.airbnb.com/rooms/1178034039857504939,165.1k,303,136.9k,87,516.5,
750458837975739181,https://www.airbnb.com/rooms/750458837975739181,164.1k,292,136.7k,73,644.9,1
1017094414018749329,https://www.airbnb.com/rooms/1017094414018749329,159.6k,251,136.7k,75,731,
1370789976914841481,https://www.airbnb.com/rooms/1370789976914841481,146.6k,206,136.6k,80,828,
1111440997366620194,https://www.airbnb.com/rooms/1111440997366620194,167.5k,285,136.5k,75,637.8,
1338297482137883313,https://www.airbnb.com/rooms/1338297482137883313,136.3k,237,136.3k,47,1.2k,
1096112994831330440,https://www.airbnb.com/rooms/1096112994831330440,156.7k,306,136.3k,73,608.4,
730866684003201325,https://www.airbnb.com/rooms/730866684003201325,160.9k,315,136.3k,90,481.5,
1314298474432992342,https://www.airbnb.com/rooms/1314298474432992342,183.3k,196,136.3k,64,1.1k,
1355704824047531400,https://www.airbnb.com/rooms/1355704824047531400,145.6k,191,136.1k,54,1.3k,
806382770321034417,https://www.airbnb.com/rooms/806382770321034417,138.4k,259,135.6k,70,753.5,
1117222961347708699,https://www.airbnb.com/rooms/1117222961347708699,250.7k,211,135.6k,94,681.2,
1253277448306100311,https://www.airbnb.com/rooms/1253277448306100311,150.3k,311,135.1k,68,640.5,1
29885867,,144.7k,321,135.1k,62,682.5,
1283749449853806365,https://www.airbnb.com/rooms/1283749449853806365,139.8k,225,134.9k,81,737.3,
1064194935,,139.1k,265,134.1k,72,698.2,
772095729294141947,https://www.airbnb.com/rooms/772095729294141947,168k,286,134k,87,540.3,
1181309754893350604,https://www.airbnb.com/rooms/1181309754893350604,134.6k,243,133.9k,72,761,
1019200463572612222,https://www.airbnb.com/rooms/1019200463572612222,185.6k,258,133.4k,53,980.9,
808693337551676776,https://www.airbnb.com/rooms/808693337551676776,160.8k,267,133.4k,74,677,1
1161418460565569613,https://www.airbnb.com/rooms/1161418460565569613,134.4k,298,133.1k,71,625.1,
1184909665864642768,https://www.airbnb.com/rooms/1184909665864642768,142.4k,191,133k,58,1.2k,
615635657771021408,https://www.airbnb.com/rooms/615635657771021408,153k,279,133k,71,671.7,
1308521964082062071,https://www.airbnb.com/rooms/1308521964082062071,133.7k,276,132.9k,58,825.4,
1028276582,,138.5k,270,132.7k,68,721.1,
1077393377408893074,https://www.airbnb.com/rooms/1077393377408893074,139.8k,338,132.7k,80,493.2,
1098977872833698132,https://www.airbnb.com/rooms/1098977872833698132,168.3k,289,132.7k,90,508.3,
953871913,,139.9k,268,132.6k,64,771.1,
1237486277757390938,https://www.airbnb.com/rooms/1237486277757390938,160.5k,277,132.5k,78,613.2,
982370644753081681,https://www.airbnb.com/rooms/982370644753081681,142.6k,216,132.3k,86,711.4,
1282452599917622693,https://www.airbnb.com/rooms/1282452599917622693,164.3k,260,132.2k,87,584.8,
760762900211923389,https://www.airbnb.com/rooms/760762900211923389,200.3k,274,131.9k,67,720.6,
894620732980007855,https://www.airbnb.com/rooms/894620732980007855,174.3k,233,131.5k,82,692,
696618059,,137k,271,131.4k,69,702.7,
1137465028110857582,https://www.airbnb.com/rooms/1137465028110857582,194.2k,217,131.4k,61,987.9,
548852505997216223,https://www.airbnb.com/rooms/548852505997216223,217.3k,188,131.3k,86,815.5,
1213154086462149942,https://www.airbnb.com/rooms/1213154086462149942,208.4k,217,131.2k,61,986.4,
913808383,,134.6k,324,131k,89,454.8,
1223021429629392390,https://www.airbnb.com/rooms/1223021429629392390,132.2k,362,130.9k,75,484.7,
1140412604051433162,https://www.airbnb.com/rooms/1140412604051433162,141.2k,330,130.7k,72,551.3,
1044949044330007868,https://www.airbnb.com/rooms/1044949044330007868,197.1k,239,130.3k,78,696.8,
1019604297036883116,https://www.airbnb.com/rooms/1019604297036883116,146.3k,323,129.8k,76,527.5,
1260040567903752507,https://www.airbnb.com/rooms/1260040567903752507,129.7k,318,129.5k,69,593.9,
46779496,https://www.airbnb.com/rooms/46779496,165.6k,268,129.2k,81,595.6,
1237613150683937328,https://www.airbnb.com/rooms/1237613150683937328,136.7k,343,129.1k,75,502.3,
1034555652145129433,https://www.airbnb.com/rooms/1034555652145129433,187.2k,271,129.1k,49,963.1,2
1091149204640945978,https://www.airbnb.com/rooms/1091149204640945978,151k,289,129k,46,962.9,
1122287114195265264,https://www.airbnb.com/rooms/1122287114195265264,129.2k,314,129k,70,586.5,
973585360955645314,https://www.airbnb.com/rooms/973585360955645314,157.6k,271,128.8k,87,548.2,
821521331809505955,https://www.airbnb.com/rooms/821521331809505955,187.2k,258,128.3k,65,763.9,
905476489084077660,https://www.airbnb.com/rooms/905476489084077660,180.9k,282,128.3k,68,671.9,
1019228785543263362,https://www.airbnb.com/rooms/1019228785543263362,189.8k,212,128.2k,83,724.4,
53945440,https://www.airbnb.com/rooms/53945440,134.7k,186,127.9k,59,1.2k,
977100661116748060,https://www.airbnb.com/rooms/977100661116748060,155.3k,287,127.8k,78,570.6,
916956308,,159.6k,208,127.8k,65,946.7,
1370120998439689515,https://www.airbnb.com/rooms/1370120998439689515,132.6k,204,127.6k,44,1.4k,
1067373097757933991,https://www.airbnb.com/rooms/1067373097757933991,146.5k,327,127.1k,65,602.3,
719308692071582880,https://www.airbnb.com/rooms/719308692071582880,262k,192,127k,57,1.2k,
1117892098602466922,https://www.airbnb.com/rooms/1117892098602466922,197.7k,247,127k,95,540.3,
46769732,https://www.airbnb.com/rooms/46769732,160k,268,126.8k,78,609.7,
780970085606507791,https://www.airbnb.com/rooms/780970085606507791,154.7k,285,126.6k,71,626.6,
677919677463365105,https://www.airbnb.com/rooms/677919677463365105,187k,246,126.2k,89,578.7,
